Date,Open,High,Low,Close,Volume,Adj Close
2017-02-23,64.419998,64.730003,64.190002,64.620003,20235200,64.620003
2017-02-22,64.330002,64.389999,64.050003,64.360001,19259700,64.360001
2017-02-21,64.610001,64.949997,64.449997,64.489998,19384900,64.489998
2017-02-17,64.470001,64.690002,64.300003,64.620003,21234600,64.620003
2017-02-16,64.739998,65.239998,64.440002,64.519997,20524700,64.519997
2017-02-15,64.50,64.57,64.160004,64.529999,16917000,64.529999
2017-02-14,64.410004,64.720001,64.019997,64.57,23065900,64.57
2017-02-13,64.239998,64.860001,64.129997,64.720001,22920100,64.33
2017-02-10,64.25,64.300003,63.98,64.00,18170700,63.614338
2017-02-09,63.52,64.440002,63.32,64.059998,22644400,63.673974
2017-02-08,63.57,63.810001,63.220001,63.34,18096400,62.958315
2017-02-07,63.740002,63.779999,63.23,63.43,20277200,63.047773
2017-02-06,63.50,63.650002,63.139999,63.639999,19796400,63.256507
2017-02-03,63.50,63.700001,63.07,63.68,30301800,63.296267
2017-02-02,63.25,63.41,62.75,63.169998,45827000,62.789338
2017-02-01,64.360001,64.620003,63.470001,63.580002,39671500,63.196871
2017-01-31,64.860001,65.150002,64.260002,64.650002,25270500,64.260423
2017-01-30,65.690002,65.790001,64.800003,65.129997,31651400,64.737526
2017-01-27,65.389999,65.910004,64.889999,65.779999,44818000,65.38361
2017-01-26,64.120003,64.540001,63.549999,64.269997,43554600,63.882708
2017-01-25,63.950001,64.099998,63.450001,63.68,23672700,63.296267
2017-01-24,63.200001,63.740002,62.939999,63.52,24672900,63.137231
